key	en_us	zh_cn	zh_hk	zh_tw	lzh	ja_jp	ko_kr	vi_vn
item.minecraft.item_frame	Item Frame	物品展示框	物品展示框	物品展示框	置具匡	額縁	아이템 액자	Khung vật phẩm
item.minecraft.jungle_boat	Jungle Boat	丛林木船	叢林木船	叢林木船	叢莽舟	ジャングルのボート	정글나무 보트	Thuyền gỗ rừng
item.minecraft.jungle_chest_boat	Jungle Boat with Chest	丛林木运输船	儲物箱叢林木船	儲物箱叢林木船	叢莽艚	チェスト付きのジャングルのボート	상자가 실린 정글나무 보트	Thuyền gỗ rừng có rương
item.minecraft.knowledge_book	Knowledge Book	知识之书	知識之書	知識之書	天工開物	知恵の本	지식의 책	Sách kiến thức
item.minecraft.lapis_lazuli	Lapis Lazuli	青金石	青金石	青金石	群青	ラピスラズリ	청금석	Ngọc lưu ly
item.minecraft.lava_bucket	Lava Bucket	熔岩桶	熔岩桶	熔岩桶	熔巖桶	溶岩入りバケツ	용암 양동이	Xô dung nham
item.minecraft.lead	Lead	拴绳	牽繩	拴繩	韁	リード	끈	Dây buộc
item.minecraft.leather	Leather	皮革	皮革	皮革	革	革	가죽	Da thuộc
item.minecraft.leather_boots	Leather Boots	皮革靴子	皮革靴	皮革靴子	革鞾	革のブーツ	가죽 장화	Ủng da
item.minecraft.leather_chestplate	Leather Tunic	皮革外套	皮革衫	皮革上衣	革衣	革の上着	가죽 조끼	Áo da
item.minecraft.leather_helmet	Leather Cap	皮革帽子	皮革帽	皮革帽子	革帽	革の帽子	가죽 모자	Mũ da
item.minecraft.leather_horse_armor	Leather Horse Armor	皮革马铠	皮革馬甲	皮革製馬鎧	皮馬甲	革の馬鎧	가죽 말 갑옷	Giáp ngựa da
item.minecraft.leather_leggings	Leather Pants	皮革裤子	皮革褲	皮革褲子	革褲	革のズボン	가죽 바지	Quần da
item.minecraft.light_blue_bundle	Light Blue Bundle	淡蓝色收纳袋	淺藍色收納袋	淺藍色束口袋	縹皮囊	空色のバンドル	하늘색 꾸러미	Túi bọc xanh nước biển nhạt
item.minecraft.light_blue_dye	Light Blue Dye	淡蓝色染料	淺藍色染料	淺藍色染料	縹染	空色の染料	하늘색 염료	Bột nhuộm xanh nhạt
item.minecraft.light_gray_bundle	Light Gray Bundle	淡灰色收纳袋	淺灰色收納袋	淺灰色束口袋	蒼皮囊	薄灰色のバンドル	회백색 꾸러미	Túi bọc xám nhạt
item.minecraft.light_gray_dye	Light Gray Dye	淡灰色染料	淺灰色染料	淺灰色染料	蒼染	薄灰色の染料	회백색 염료	Bột nhuộm xám nhạt
item.minecraft.lime_bundle	Lime Bundle	黄绿色收纳袋	淺綠色收納袋	淺綠色束口袋	翠皮囊	黄緑色のバンドル	연두색 꾸러미	Túi bọc xanh lá mạ
item.minecraft.lime_dye	Lime Dye	黄绿色染料	淺綠色染料	淺綠色染料	翠染	黄緑色の染料	연두색 염료	Bột nhuộm xanh lá mạ
item.minecraft.lingering_potion	Lingering Potion	滞留药水	滯留藥水	滯留藥水	滯劑	残留ポーション	잔류형 물약	Thuốc kéo dài
item.minecraft.lingering_potion.effect.awkward	Awkward Lingering Potion	滞留型粗制的药水	滯留型粗製藥水	滯留 基礎藥水	粗滯劑	奇妙な残留ポーション	잔류형 어색한 물약	Thuốc kì quặc kéo dài
item.minecraft.lingering_potion.effect.empty	Lingering Uncraftable Potion	不可合成的滞留型药水	滯留型不可合成的藥水	滯留 不可合成的藥水	空滯劑	クラフト不可能な残留ポーション	잔류형 제작 불가능 물약	Thuốc không thể tạo ra kéo dài
item.minecraft.lingering_potion.effect.fire_resistance	Lingering Potion of Fire Resistance	滞留型抗火药水	滯留型抗火藥水	滯留 抗火藥水	抗火滯劑	耐火の残留ポーション	잔류형 화염 저항의 물약	Thuốc kháng lửa kéo dài
item.minecraft.lingering_potion.effect.harming	Lingering Potion of Harming	滞留型伤害药水	滯留型傷害藥水	滯留 傷害藥水	瞬傷滯劑	負傷の残留ポーション	잔류형 고통의 물약	Thuốc sát thương kéo dài
item.minecraft.lingering_potion.effect.healing	Lingering Potion of Healing	滞留型治疗药水	滯留型治療藥水	滯留 治療藥水	瞬療滯劑	治癒の残留ポーション	잔류형 치유의 물약	Thuốc hồi máu kéo dài
item.minecraft.lingering_potion.effect.infested	Lingering Potion of Infestation	滞留型虫蚀药水	滯留型蛀蝕藥水	滯留 蛀蝕藥水	蟫蝕滯劑	虫食いの残留ポーション	잔류형 벌레 먹음의 물약	Thuốc nhiễm khuẩn kéo dài
item.minecraft.lingering_potion.effect.invisibility	Lingering Potion of Invisibility	滞留型隐身药水	滯留型隱形藥水	滯留 隱形藥水	隱滯劑	透明化の残留ポーション	잔류형 투명화 물약	Thuốc tàng hình kéo dài
item.minecraft.lingering_potion.effect.leaping	Lingering Potion of Leaping	滞留型跳跃药水	滯留型跳躍藥水	滯留 跳躍藥水	捷滯劑	跳躍の残留ポーション	잔류형 도약의 물약	Thuốc nhảy cao kéo dài
item.minecraft.lingering_potion.effect.levitation	Lingering Potion of Levitation	滞留型飘浮药水	滯留型飄浮藥水	滯留 懸浮藥水	浮滯劑	浮遊の残留ポーション	잔류형 공중 부양의 물약	Thuốc bay lên kéo dài
item.minecraft.lingering_potion.effect.luck	Lingering Potion of Luck	滞留型幸运药水	滯留型幸運藥水	滯留 幸運藥水	幸滯劑	幸運の残留ポーション	잔류형 행운의 물약	Thuốc may mắn kéo dài
item.minecraft.lingering_potion.effect.mundane	Mundane Lingering Potion	滞留型平凡的药水	滯留型平凡藥水	滯留 平凡藥水	凡滯劑	ありふれた残留ポーション	잔류형 평범한 물약	Thuốc trần tục kéo dài
item.minecraft.lingering_potion.effect.night_vision	Lingering Potion of Night Vision	滞留型夜视药水	滯留型夜視藥水	滯留 夜視藥水	夜視滯劑	暗視の残留ポーション	잔류형 야간 투시의 물약	Thuốc nhìn trong bóng tối kéo dài
item.minecraft.lingering_potion.effect.oozing	Lingering Potion of Oozing	滞留型渗浆药水	滯留型滲漿藥水	滯留 滲漿藥水	滲膠滯劑	滲出の残留ポーション	잔류형 점액화 물약	Thuốc rò rỉ kéo dài
item.minecraft.lingering_potion.effect.poison	Lingering Potion of Poison	滞留型剧毒药水	滯留型劇毒藥水	滯留 劇毒藥水	毒滯劑	毒の残留ポーション	잔류형 독 물약	Thuốc độc kéo dài
item.minecraft.lingering_potion.effect.regeneration	Lingering Potion of Regeneration	滞留型再生药水	滯留型回復藥水	滯留 回復藥水	甦滯劑	再生の残留ポーション	잔류형 재생의 물약	Thuốc hồi phục kéo dài
item.minecraft.lingering_potion.effect.slow_falling	Lingering Potion of Slow Falling	滞留型缓降药水	滯留型緩降藥水	滯留 緩降藥水	輕滯劑	低速落下の残留ポーション	잔류형 느린 낙하의 물약	Thuốc rơi chậm kéo dài
item.minecraft.lingering_potion.effect.slowness	Lingering Potion of Slowness	滞留型迟缓药水	滯留型緩速藥水	滯留 緩速藥水	緩滯劑	鈍化の残留ポーション	잔류형 감속의 물약	Thuốc chậm rãi kéo dài
item.minecraft.lingering_potion.effect.strength	Lingering Potion of Strength	滞留型力量药水	滯留型力量藥水	滯留 力量藥水	力滯劑	力の残留ポーション	잔류형 힘의 물약	Thuốc sức mạnh kéo dài
item.minecraft.lingering_potion.effect.swiftness	Lingering Potion of Swiftness	滞留型迅捷药水	滯留型迅捷藥水	滯留 迅捷藥水	速滯劑	俊敏の残留ポーション	잔류형 신속의 물약	Thuốc nhanh nhẹn kéo dài
item.minecraft.lingering_potion.effect.thick	Thick Lingering Potion	滞留型浓稠的药水	滯留型黏稠藥水	滯留 黏稠藥水	濁滯劑	濃厚な残留ポーション	잔류형 진한 물약	Thuốc đặc kéo dài
item.minecraft.lingering_potion.effect.turtle_master	Lingering Potion of the Turtle Master	滞留型神龟药水	滯留型神龜藥水	滯留 龜仙藥水	龜仙滯劑	タートルマスターの残留ポーション	잔류형 거북 도사의 물약	Thuốc kéo dài của Rùa cụ
item.minecraft.lingering_potion.effect.water	Lingering Water Bottle	滞留型水瓶	滯留型水樽	滯留 水瓶	水滯劑	水入り残留瓶	잔류형 물병	Chai nước kéo dài
item.minecraft.lingering_potion.effect.water_breathing	Lingering Potion of Water Breathing	滞留型水肺药水	滯留型水中呼吸藥水	滯留 水下呼吸藥水	水肺滯劑	水中呼吸の残留ポーション	잔류형 수중 호흡의 물약	Thuốc thở dưới nước kéo dài
item.minecraft.lingering_potion.effect.weakness	Lingering Potion of Weakness	滞留型虚弱药水	滯留型虛弱藥水	滯留 虛弱藥水	虛滯劑	弱化の残留ポーション	잔류형 나약함의 물약	Thuốc yếu đuối kéo dài
item.minecraft.lingering_potion.effect.weaving	Lingering Potion of Weaving	滞留型盘丝药水	滯留型織網藥水	滯留 結網藥水	綴絲滯劑	巣張りの残留ポーション	잔류형 방적의 물약	Thuốc thêu dệt kéo dài
item.minecraft.lingering_potion.effect.wind_charged	Lingering Potion of Wind Charging	滞留型蓄风药水	滯留型蓄風藥水	滯留 蘊風藥水	厲風滯劑	蓄風の残留ポーション	잔류형 돌풍의 물약	Thuốc nạp gió kéo dài
item.minecraft.llama_spawn_egg	Llama Spawn Egg	羊驼刷怪蛋	羊駝 生成蛋	駱馬 生怪蛋	孳美洲駝之卵	ラマのスポーンエッグ	라마 생성 알	Trứng sinh ra Lạc đà không bướu
item.minecraft.lodestone_compass	Lodestone Compass	磁石指针	磁石指南針	磁石羅盤	礠石司南	ロードストーンコンパス	자석석 나침반	La bàn đá nam châm
item.minecraft.mace	Mace	重锤	重錘	重錘	椎	メイス	철퇴	Chuỳ
item.minecraft.magenta_bundle	Magenta Bundle	品红色收纳袋	紫紅色收納袋	洋紅色束口袋	赬皮囊	赤紫色のバンドル	자홍색 꾸러미	Túi bọc đỏ sậm
item.minecraft.magenta_dye	Magenta Dye	品红色染料	紫紅色染料	洋紅色染料	赬染	赤紫色の染料	자홍색 염료	Bột nhuộm đỏ sậm
item.minecraft.magma_cream	Magma Cream	岩浆膏	岩漿球	岩漿球	火漿膏	マグマクリーム	마그마 크림	Kem dung nham
item.minecraft.magma_cube_spawn_egg	Magma Cube Spawn Egg	岩浆怪刷怪蛋	岩漿史萊姆 生成蛋	岩漿立方怪 生怪蛋	孳火漿魔之卵	マグマキューブのスポーンエッグ	마그마 큐브 생성 알	Trứng sinh ra Khối dung nham
item.minecraft.mangrove_boat	Mangrove Boat	红树木船	紅樹木船	紅樹林木船	沒潮木舟	マングローブのボート	맹그로브나무 보트	Thuyền gỗ đước
item.minecraft.mangrove_chest_boat	Mangrove Boat with Chest	红树木运输船	儲物箱紅樹木船	儲物箱紅樹林木船	沒潮木艚	チェスト付きのマングローブのボート	상자가 실린 맹그로브나무 보트	Thuyền gỗ đước có rương
item.minecraft.map	Empty Map	空地图	空白地圖	空白地圖	空圖	白紙の地図	빈 지도	Bản đồ trống
item.minecraft.melon_seeds	Melon Seeds	西瓜种子	西瓜種子	西瓜種子	寒瓜種	スイカの種	수박씨	Hạt dưa hấu
item.minecraft.melon_slice	Melon Slice	西瓜片	西瓜片	西瓜片	寒瓜片	スイカの薄切り	수박 조각	Lát cắt dưa hấu
item.minecraft.milk_bucket	Milk Bucket	奶桶	鮮奶桶	鮮奶桶	乳桶	ミルク入りバケツ	우유 양동이	Xô sữa
item.minecraft.minecart	Minecart	矿车	礦車	礦車	礦車	トロッコ	광산 수레	Xe mỏ
item.minecraft.miner_pottery_sherd	Miner Pottery Sherd	采矿纹样陶片	採礦陶罐碎片	礦工陶器碎片	礦陶片	鉱夫の壺の欠片	광부 도자기 조각	Mảnh gốm thợ mỏ
item.minecraft.mojang_banner_pattern	Banner Pattern	旗帜图案	橫額圖案	旗幟圖案	旗楷	旗の模様	현수막 무늬	Hoa văn cờ hiệu
item.minecraft.mooshroom_spawn_egg	Mooshroom Spawn Egg	哞菇刷怪蛋	蘑菇牛 生成蛋	哞菇 生怪蛋	孳牟蕈之卵	ムーシュルームのスポーンエッグ	무시룸 생성 알	Trứng sinh ra Mooshroom
item.minecraft.mourner_pottery_sherd	Mourner Pottery Sherd	悲恸纹样陶片	悲慟陶罐碎片	悼惜陶器碎片	悲陶片	哀悼者の壺の欠片	애도자 도자기 조각	Mảnh gốm người than khóc
item.minecraft.mule_spawn_egg	Mule Spawn Egg	骡刷怪蛋	騾 生成蛋	騾子 生怪蛋	孳騾之卵	ラバのスポーンエッグ	노새 생성 알	Trứng sinh ra Con la
item.minecraft.mushroom_stew	Mushroom Stew	蘑菇煲	蘑菇湯	蘑菇湯	蕈羹	キノコシチュー	버섯 스튜	Súp nấm
item.minecraft.music_disc_5	Music Disc	音乐唱片	唱片	唱片	留聲盤	レコード	음반	Đĩa nhạc
item.minecraft.music_disc_11	Music Disc	音乐唱片	唱片	唱片	留聲盤	レコード	음반	Đĩa nhạc
item.minecraft.music_disc_13	Music Disc	音乐唱片	唱片	唱片	留聲盤	レコード	음반	Đĩa nhạc
item.minecraft.music_disc_blocks	Music Disc	音乐唱片	唱片	唱片	留聲盤	レコード	음반	Đĩa nhạc
item.minecraft.music_disc_cat	Music Disc	音乐唱片	唱片	唱片	留聲盤	レコード	음반	Đĩa nhạc
item.minecraft.music_disc_chirp	Music Disc	音乐唱片	唱片	唱片	留聲盤	レコード	음반	Đĩa nhạc
item.minecraft.music_disc_creator	Music Disc	音乐唱片	唱片	唱片	留聲盤	レコード	음반	Đĩa nhạc
item.minecraft.music_disc_creator_music_box	Music Disc	音乐唱片	唱片	唱片	留聲盤	レコード	음반	Đĩa nhạc
item.minecraft.music_disc_far	Music Disc	音乐唱片	唱片	唱片	留聲盤	レコード	음반	Đĩa nhạc
item.minecraft.music_disc_mall	Music Disc	音乐唱片	唱片	唱片	留聲盤	レコード	음반	Đĩa nhạc
item.minecraft.music_disc_mellohi	Music Disc	音乐唱片	唱片	唱片	留聲盤	レコード	음반	Đĩa nhạc
item.minecraft.music_disc_otherside	Music Disc	音乐唱片	唱片	唱片	留聲盤	レコード	음반	Đĩa nhạc
item.minecraft.music_disc_pigstep	Music Disc	音乐唱片	唱片	唱片	留聲盤	レコード	음반	Đĩa nhạc
item.minecraft.music_disc_precipice	Music Disc	音乐唱片	唱片	唱片	留聲盤	レコード	음반	Đĩa nhạc
item.minecraft.music_disc_relic	Music Disc	音乐唱片	唱片	唱片	留聲盤	レコード	음반	Đĩa nhạc
item.minecraft.music_disc_stal	Music Disc	音乐唱片	唱片	唱片	留聲盤	レコード	음반	Đĩa nhạc
item.minecraft.music_disc_strad	Music Disc	音乐唱片	唱片	唱片	留聲盤	レコード	음반	Đĩa nhạc
item.minecraft.music_disc_wait	Music Disc	音乐唱片	唱片	唱片	留聲盤	レコード	음반	Đĩa nhạc
item.minecraft.music_disc_ward	Music Disc	音乐唱片	唱片	唱片	留聲盤	レコード	음반	Đĩa nhạc
item.minecraft.mutton	Raw Mutton	生羊肉	生羊肉	生羊肉	生羊肉	生の羊肉	익히지 않은 양고기	Thịt cừu sống
item.minecraft.name_tag	Name Tag	命名牌	命名牌	命名牌	名刺	名札	이름표	Nhãn ghi tên
item.minecraft.nautilus_shell	Nautilus Shell	鹦鹉螺壳	鸚鵡螺殼	鸚鵡螺殼	鸚鵡螺殼	オウムガイの殻	앵무조개 껍데기	Vỏ ốc anh vũ
item.minecraft.nether_brick	Nether Brick	下界砖	地獄磚頭	地獄磚頭	焱界磚	ネザーレンガ	네더 벽돌	Gạch Nether
item.minecraft.nether_star	Nether Star	下界之星	地獄之星	地獄之星	焱界之星	ネザースター	네더의 별	Sao Nether
item.minecraft.nether_wart	Nether Wart	下界疣	地獄孢子	地獄疙瘩	焱界疣	ネザーウォート	네더 사마귀	Bướu Nether
item.minecraft.netherite_axe	Netherite Axe	下界合金斧	地獄合金斧頭	獄髓斧	玄鈺斧	ネザライトの斧	네더라이트 도끼	Rìu Netherit
item.minecraft.netherite_boots	Netherite Boots	下界合金靴子	地獄合金靴	獄髓靴子	玄鈺鞾	ネザライトのブーツ	네더라이트 부츠	Ủng Netherit
item.minecraft.netherite_chestplate	Netherite Chestplate	下界合金胸甲	地獄合金胸甲	獄髓胸甲	玄鈺鎧	ネザライトのチェストプレート	네더라이트 흉갑	Áo Netherit
item.minecraft.netherite_helmet	Netherite Helmet	下界合金头盔	地獄合金頭盔	獄髓頭盔	玄鈺胄	ネザライトのヘルメット	네더라이트 투구	Mũ Netherit
item.minecraft.netherite_hoe	Netherite Hoe	下界合金锄	地獄合金鋤頭	獄髓鋤	玄鈺鋤	ネザライトのクワ	네더라이트 괭이	Cuốc Netherit
item.minecraft.netherite_ingot	Netherite Ingot	下界合金锭	地獄合金錠	獄髓錠	玄鈺錠	ネザライトインゴット	네더라이트 주괴	Phôi Netherit
item.minecraft.netherite_leggings	Netherite Leggings	下界合金护腿	地獄合金護腳	獄髓護腿	玄鈺護腿	ネザライトのレギンス	네더라이트 레깅스	Quần Netherit
item.minecraft.netherite_pickaxe	Netherite Pickaxe	下界合金镐	地獄合金鎬	獄髓鎬	玄鈺鎬	ネザライトのツルハシ	네더라이트 곡괭이	Cuốc chim Netherit
item.minecraft.netherite_scrap	Netherite Scrap	下界合金碎片	地獄合金碎片	獄髓碎片	玄鈺殘片	ネザライトの欠片	네더라이트 파편	Vụn Netherit
item.minecraft.netherite_shovel	Netherite Shovel	下界合金锹	地獄合金鏟	獄髓鏟	玄鈺鍁	ネザライトのシャベル	네더라이트 삽	Xẻng Netherit
item.minecraft.netherite_sword	Netherite Sword	下界合金剑	地獄合金劍	獄髓劍	玄鈺劍	ネザライトの剣	네더라이트 검	Kiếm Netherit
item.minecraft.netherite_upgrade_smithing_template	Smithing Template	锻造模板	鍛造模板	鍛造模板	鍛模	鍛冶型	대장장이 형판	Mẫu rèn
item.minecraft.oak_boat	Oak Boat	橡木船	橡木船	橡木船	柞舟	オークのボート	참나무 보트	Thuyền gỗ sồi
item.minecraft.oak_chest_boat	Oak Boat with Chest	橡木运输船	儲物箱橡木船	儲物箱橡木船	柞艚	チェスト付きのオークのボート	상자가 실린 참나무 보트	Thuyền gỗ sồi có rương
item.minecraft.ocelot_spawn_egg	Ocelot Spawn Egg	豹猫刷怪蛋	豹貓 生成蛋	山貓 生怪蛋	孳虎貓之卵	ヤマネコのスポーンエッグ	오실롯 생성 알	Trứng sinh ra Mèo rừng
item.minecraft.ominous_bottle	Ominous Bottle	不祥之瓶	不祥之瓶	不祥之瓶	厄瓶	不吉な瓶	불길한 병	Chai báo điềm
item.minecraft.ominous_trial_key	Ominous Trial Key	不祥试炼钥匙	不祥試煉鎖匙	不祥試煉鑰匙	厄煉管	不吉な試練の鍵	불길한 시련 열쇠	Chìa khoá thử thách báo điềm
item.minecraft.orange_bundle	Orange Bundle	橙色收纳袋	橙色收納袋	橙色束口袋	橙皮囊	橙色のバンドル	주황색 꾸러미	Túi bọc cam
item.minecraft.orange_dye	Orange Dye	橙色染料	橙色染料	橙色染料	橙染	橙色の染料	주황색 염료	Bột nhuộm cam
item.minecraft.painting	Painting	画	畫	繪畫	畫	絵画	그림	Tranh vẽ
item.minecraft.pale_oak_boat	Pale Oak Boat	苍白橡木船	蒼白橡木船	蒼白橡木船	縞柞舟	ペールオークのボート	창백한 참나무 보트	Thuyền gỗ sồi nhạt
item.minecraft.pale_oak_chest_boat	Pale Oak Boat with Chest	苍白橡木运输船	儲物箱蒼白橡木船	儲物箱蒼白橡木船	縞柞艚	チェスト付きのペールオークのボート	상자가 실린 창백한 참나무 보트	Thuyền gỗ sồi nhạt có rương
item.minecraft.panda_spawn_egg	Panda Spawn Egg	熊猫刷怪蛋	熊貓 生成蛋	貓熊 生怪蛋	孳貓熊之卵	パンダのスポーンエッグ	판다 생성 알	Trứng sinh ra Gấu trúc
item.minecraft.paper	Paper	纸	紙	紙	紙	紙	종이	Giấy
item.minecraft.parrot_spawn_egg	Parrot Spawn Egg	鹦鹉刷怪蛋	鸚鵡 生成蛋	鸚鵡 生怪蛋	孳鸚鵡之卵	オウムのスポーンエッグ	앵무새 생성 알	Trứng sinh ra Con vẹt
item.minecraft.phantom_membrane	Phantom Membrane	幻翼膜	夜魅膜	夜魅皮膜	魘靈膜	ファントムの皮膜	팬텀 막	Màng da Phantom
item.minecraft.phantom_spawn_egg	Phantom Spawn Egg	幻翼刷怪蛋	夜魅 生成蛋	夜魅 生怪蛋	孳魘靈之卵	ファントムのスポーンエッグ	팬텀 생성 알	Trứng sinh ra Phantom
item.minecraft.pig_spawn_egg	Pig Spawn Egg	猪刷怪蛋	豬 生成蛋	豬 生怪蛋	孳豕之卵	ブタのスポーンエッグ	돼지 생성 알	Trứng sinh ra Con heo
item.minecraft.piglin_banner_pattern	Banner Pattern	旗帜图案	橫額圖案	旗幟圖案	旗楷	旗の模様	현수막 무늬	Hoa văn cờ hiệu
item.minecraft.piglin_brute_spawn_egg	Piglin Brute Spawn Egg	猪灵蛮兵刷怪蛋	殘暴豬人 生成蛋	豬布林蠻兵 生怪蛋	孳暴豕靈之卵	ピグリンブルートのスポーンエッグ	난폭한 피글린 생성 알	Trứng sinh ra Piglin hung bạo
item.minecraft.piglin_spawn_egg	Piglin Spawn Egg	猪灵刷怪蛋	豬人 生成蛋	豬布林 生怪蛋	孳豕靈之卵	ピグリンのスポーンエッグ	피글린 생성 알	Trứng sinh ra Piglin
item.minecraft.pillager_spawn_egg	Pillager Spawn Egg	掠夺者刷怪蛋	掠奪者 生成蛋	掠奪者 生怪蛋	孳劫寇之卵	ピリジャーのスポーンエッグ	약탈자 생성 알	Trứng sinh ra Kẻ cướp
item.minecraft.pink_bundle	Pink Bundle	粉红色收纳袋	粉紅色收納袋	粉紅色束口袋	粉皮囊	桃色のバンドル	분홍색 꾸러미	Túi bọc hồng
item.minecraft.pink_dye	Pink Dye	粉红色染料	粉紅色染料	粉紅色染料	粉染	桃色の染料	분홍색 염료	Bột nhuộm hồng
item.minecraft.pitcher_plant	Pitcher Plant	瓶子草	樽草	瓶子草	小人蘭	ウツボカズラ	벌레잡이풀	Cây nắp ấm
item.minecraft.pitcher_pod	Pitcher Pod	瓶子草荚果	樽草莢果	瓶子草豆莢	小人蘭莢	ウツボカズラのさや	벌레잡이풀 꼬투리	Quả đậu nắp ấm
item.minecraft.plenty_pottery_sherd	Plenty Pottery Sherd	富饶纹样陶片	富饒陶罐碎片	富饒陶器碎片	稷陶片	富の壺の欠片	풍부 도자기 조각	Mảnh gốm dồi dào
item.minecraft.poisonous_potato	Poisonous Potato	毒马铃薯	毒薯仔	毒馬鈴薯	毒洋芋	青くなったジャガイモ	독이 있는 감자	Khoai tây độc
item.minecraft.polar_bear_spawn_egg	Polar Bear Spawn Egg	北极熊刷怪蛋	北極熊 生成蛋	北極熊 生怪蛋	孳雪熊之卵	シロクマのスポーンエッグ	북극곰 생성 알	Trứng sinh ra Gấu bắc cực
item.minecraft.popped_chorus_fruit	Popped Chorus Fruit	爆裂紫颂果	爆開的歌萊果	爆開的歌萊果	裂頌緲果	焼いたコーラスフルーツ	튀긴 후렴과	Quả Chorus nở bung
item.minecraft.porkchop	Raw Porkchop	生猪排	生豬扒	生豬肉	生豕肉	生の豚肉	익히지 않은 돼지고기	Thịt heo sống
item.minecraft.potato	Potato	马铃薯	薯仔	馬鈴薯	洋芋	ジャガイモ	감자	Khoai tây
item.minecraft.potion	Potion	药水	藥水	藥水	藥劑	ポーション	물약	Thuốc
item.minecraft.potion.effect.awkward	Awkward Potion	粗制的药水	粗製藥水	基礎藥水	粗劑	奇妙なポーション	어색한 물약	Thuốc kì quặc
item.minecraft.potion.effect.empty	Uncraftable Potion	不可合成的药水	不可合成的藥水	不可合成的藥水	空劑	クラフト不可能なポーション	제작 불가능 물약	Thuốc không tạo ra được
item.minecraft.potion.effect.fire_resistance	Potion of Fire Resistance	抗火药水	抗火藥水	抗火藥水	抗火之劑	耐火のポーション	화염 저항의 물약	Thuốc kháng lửa
item.minecraft.potion.effect.harming	Potion of Harming	伤害药水	傷害藥水	傷害藥水	瞬傷劑	負傷のポーション	고통의 물약	Thuốc sát thương
item.minecraft.potion.effect.healing	Potion of Healing	治疗药水	治療藥水	治療藥水	瞬療劑	治癒のポーション	치유의 물약	Thuốc hồi máu
item.minecraft.potion.effect.infested	Potion of Infestation	虫蚀药水	蛀蝕藥水	蛀蝕藥水	蟫蝕劑	虫食いのポーション	벌레 먹음의 물약	Thuốc nhiễm khuẩn
item.minecraft.potion.effect.invisibility	Potion of Invisibility	隐身药水	隱形藥水	隱形藥水	隱劑	透明化のポーション	투명화 물약	Thuốc tàng hình
item.minecraft.potion.effect.leaping	Potion of Leaping	跳跃药水	跳躍藥水	跳躍藥水	捷劑	跳躍のポーション	도약의 물약	Thuốc nhảy cao
item.minecraft.potion.effect.levitation	Potion of Levitation	飘浮药水	飄浮藥水	懸浮藥水	浮劑	浮遊のポーション	공중 부양의 물약	Thuốc bay lên
item.minecraft.potion.effect.luck	Potion of Luck	幸运药水	幸運藥水	幸運藥水	幸劑	幸運のポーション	행운의 물약	Thuốc may mắn
item.minecraft.potion.effect.mundane	Mundane Potion	平凡的药水	平凡藥水	平凡藥水	凡劑	ありふれたポーション	평범한 물약	Thuốc trần tục
item.minecraft.potion.effect.night_vision	Potion of Night Vision	夜视药水	夜視藥水	夜視藥水	夜視劑	暗視のポーション	야간 투시의 물약	Thuốc nhìn trong bóng tối
item.minecraft.potion.effect.oozing	Potion of Oozing	渗浆药水	滲漿藥水	滲漿藥水	滲膠劑	滲出のポーション	점액화 물약	Thuốc rò rỉ
item.minecraft.potion.effect.poison	Potion of Poison	剧毒药水	劇毒藥水	劇毒藥水	毒劑	毒のポーション	독 물약	Thuốc độc
item.minecraft.potion.effect.regeneration	Potion of Regeneration	再生药水	回復藥水	回復藥水	甦劑	再生のポーション	재생의 물약	Thuốc hồi phục
item.minecraft.potion.effect.slow_falling	Potion of Slow Falling	缓降药水	緩降藥水	緩降藥水	輕劑	低速落下のポーション	느린 낙하의 물약	Thuốc rơi chậm
item.minecraft.potion.effect.slowness	Potion of Slowness	迟缓药水	緩速藥水	緩速藥水	緩劑	鈍化のポーション	감속의 물약	Thuốc chậm rãi
item.minecraft.potion.effect.strength	Potion of Strength	力量药水	力量藥水	力量藥水	力劑	力のポーション	힘의 물약	Thuốc sức mạnh
item.minecraft.potion.effect.swiftness	Potion of Swiftness	迅捷药水	迅捷藥水	迅捷藥水	速劑	俊敏のポーション	신속의 물약	Thuốc nhanh nhẹn
item.minecraft.potion.effect.thick	Thick Potion	浓稠的药水	黏稠藥水	黏稠藥水	濁劑	濃厚なポーション	진한 물약	Thuốc đặc
item.minecraft.potion.effect.turtle_master	Potion of the Turtle Master	神龟药水	神龜藥水	龜仙藥水	龜仙之劑	タートルマスターのポーション	거북 도사의 물약	Thuốc của Rùa cụ
item.minecraft.potion.effect.water	Water Bottle	水瓶	水樽	水瓶	水瓶	水入り瓶	물병	Chai nước
item.minecraft.potion.effect.water_breathing	Potion of Water Breathing	水肺药水	水中呼吸藥水	水下呼吸藥水	水肺劑	水中呼吸のポーション	수중 호흡의 물약	Thuốc thở dưới nước
item.minecraft.potion.effect.weakness	Potion of Weakness	虚弱药水	虛弱藥水	虛弱藥水	虛劑	弱化のポーション	나약함의 물약	Thuốc yếu đuối
item.minecraft.potion.effect.weaving	Potion of Weaving	盘丝药水	織網藥水	結網藥水	綴絲劑	巣張りのポーション	방적의 물약	Thuốc thêu dệt
item.minecraft.potion.effect.wind_charged	Potion of Wind Charging	蓄风药水	蓄風藥水	蘊風藥水	厲風劑	蓄風のポーション	돌풍의 물약	Thuốc nạp gió
item.minecraft.powder_snow_bucket	Powder Snow Bucket	细雪桶	幼雪桶	粉雪桶	齏雪桶	粉雪入りバケツ	가루눈 양동이	Xô bột tuyết
